id,host_id,host_is_superhost,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cancellation_policy,review_scores_rating,price
2634250,11790218,0,1,1,6,3,3,3,1,3,100,1490
14807246,85237033,0,9,1,5,1,2,3,1,2,100,1503
15321132,24254303,0,12,1,2,1,1,1,1,3,100,248
15423684,98854995,0,1,1,3,1,1,1,1,3,100,356
15442769,87432646,0,2,1,4,1,2,2,1,3,100,698
15473578,99317741,0,1,1,2,1,1,1,1,1,100,396
15835618,93050263,0,12,1,2,1,1,1,1,2,100,470
16036659,79932117,0,1,1,2,1,1,1,1,1,100,597
16291576,85758424,0,2,1,2,1,1,1,1,3,100,611
16547672,41440505,0,2,1,2,1.5,1,1,1,3,100,1503
16668834,86501423,0,9,1,4,1,2,2,1,3,100,698
17706216,93050263,0,12,1,3,2,1,2,1,2,100,671
17770162,119868116,0,1,1,2,1,1,1,1,3,100,658
17814484,121777409,1,9,1,3,1,1,1,1,3,100,121
18982742,129525792,0,1,1,2,1,1,1,1,3,100,497
19056806,116330078,0,10,1,2,1,1,1,1,2,100,530
19989810,12267702,0,1,1,2,1,0,1,1,2,100,429
20075557,142329622,0,1,1,2,2,1,1,1,3,100,577
20272729,70926641,0,1,1,3,1,1,1,1,2,100,470
20285900,144688337,0,6,1,2,1,1,1,1,1,100,342
20494271,81238003,0,1,1,5,1.5,1,2,1,3,100,698
20598027,132157720,0,2,1,6,1,2,3,1,3,100,617
20828877,83723753,0,1,1,2,1,1,1,1,1,100,698
21000296,151188912,0,1,1,2,1,1,1,1,3,100,591
21075205,151056625,1,15,1,5,1,1,2,1,3,100,389
21148497,148524154,0,4,1,2,1,1,1,1,3,100,315
21191189,153039211,0,12,1,2,1,1,1,1,1,100,396
21554524,156249912,0,1,1,4,2,2,2,1,2,100,1409
21567231,153039211,0,12,1,1,1,1,1,1,3,100,396
21582969,153039211,0,12,1,2,1,1,1,1,3,100,497
21642531,148446971,0,1,1,2,0,1,1,1,3,100,389
21719774,156249912,0,1,1,2,1,1,1,1,2,100,752
21730177,101023703,0,1,1,2,1,0,1,1,3,100,577
21754709,153039211,0,12,1,2,1,1,1,1,3,100,396
21756263,156249912,0,1,1,2,1,1,1,1,2,100,550
21789340,156249912,0,1,1,2,1,1,1,1,2,100,651
22096938,161422532,0,2,1,6,1,2,3,1,3,100,718
22167619,153039211,0,12,1,2,1,1,2,1,3,100,497
22251001,85983323,0,2,1,2,1,1,1,1,3,100,530
22440760,153039211,0,12,1,2,1,1,1,1,3,100,597
22456580,14770202,0,1,1,2,1,1,1,1,3,100,678
22720968,167654373,0,7,1,2,1,1,1,1,3,100,228
22816165,162185412,0,1,1,2,1,1,1,1,3,100,577
22819790,168670755,0,4,1,1,1,1,1,1,1,100,302
22902159,94866715,0,2,1,2,1,1,1,1,3,100,1188
22962648,167500871,0,4,1,2,1,1,1,1,3,100,591
23081020,169969459,0,8,1,2,1,0,1,1,3,100,369
23112661,169969459,0,8,1,2,1,0,1,1,3,100,369
24071959,181244644,1,9,1,4,1,2,2,1,1,100,886
24106025,178878445,0,1,1,2,1,1,1,1,1,100,671
24173572,106655993,0,2,1,2,1,1,1,1,2,100,403
24210160,181902649,0,1,1,4,1,0,2,1,3,100,416
24276317,134162095,0,6,1,1,1,0,1,1,3,100,349
24277867,134162095,0,6,1,1,1,0,1,1,3,100,389
24288932,146562093,0,1,1,1,1,1,2,1,3,100,248
24297090,182909291,0,1,1,4,1,1,2,1,2,100,725
24312969,183204784,0,2,1,6,1,2,3,1,2,100,785
24345410,153039211,0,12,1,2,1,1,1,1,3,100,617
24347931,153039211,0,12,1,2,1,1,1,1,3,100,691
24348382,153039211,0,12,1,4,1,2,3,1,3,100,886
